sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Load Test - Navigation:GET /,213,3894,3538,6777,308,18703,0.0,0.8641324191650778,26.90528536274291
Load Test - Survey:GET /,300,969,384,1771,203,15066,0.0,0.29186570286125674,9.087197804987499
Load Test - Purchase:GET /,46,4994,4684,8272,373,14077,0.0,0.230905148180869,7.1893786533837645
Load Test - Survey:GET /stylist_surveys/registrations,300,866,416,1649,177,11320,0.0,0.29190659767292065,7.702771815822018
Load Test - Navigation:GET /login,213,4193,3973,7024,731,14929,0.0,0.8437314319667261,20.22548942241038
Load Test - Purchase:GET /login,46,4156,4009,7416,896,12374,0.0,0.2243814875517053,5.3787678026589205
Load Test - Navigation:POST /sign_in,213,3304,3000,6097,115,13924,0.0,0.8334637658475506,6.532731580890984
Load Test - Purchase:POST /sign_in,46,3347,3408,5032,134,13236,0.0,0.2252164035877952,0.2651542564064275
Load Test - Survey:POST /stylist_surveys/registrations/step02,300,819,395,1684,178,7125,0.0,0.2920415750386225,7.697478208831143
Load Test - Navigation:GET /showroom (first),213,7153,6493,11405,2212,23803,0.0,0.8150988450852984,30.306955241076007
Load Test - Survey:POST /stylist_surveys/registrations/step03,300,783,393,1464,178,14611,0.0,0.2923161769721111,7.709288220157441
Load Test - Purchase:GET /showroom (first),46,6701,6311,9650,2739,12642,0.0,0.21835719439486576,9.71533757547564
Load Test - Survey:POST /stylist_surveys/registrations/step04,300,881,393,1645,177,14454,0.0,0.2927566158115896,7.789518796255545
Load Test - Survey:POST /stylist_surveys/registrations/step05,300,820,252,1527,158,12068,0.0,0.2932064075373594,9.262069719596939
Load Test - Navigation:GET /features,213,22436,7336,80891,1876,93522,0.0,0.6396338771722777,66.80527922702649
Load Test - Purchase:GET /showroom/welcome,46,8788,7865,12757,3280,19765,0.0,0.21396841640114425,9.534776772216667
Load Test - Navigation:GET /boutiques,213,6788,6098,11516,784,20650,0.0,0.6456619398958453,12.316613087271971
Load Test - Purchase:GET /products/shala-2,46,7747,7130,10171,4189,19093,0.0,0.2122192132203343,9.671116626279659
Load Test - Survey:POST /stylist_surveys/registrations/congrats,300,6637,755,11866,451,86799,0.0,0.2936699443495455,22.55492526558776
Load Test - Navigation:GET /shop_by shoes,213,7047,6297,12458,819,20625,0.0,0.6523456880868814,12.591343709611227
Load Test - Navigation:GET /whats_new,213,8793,6975,12905,741,81442,0.0,0.6446965386152039,32.12801004992615
Load Test - Navigation:GET /how_it_works,213,5081,4617,8616,436,14154,0.0,0.6571599582873116,17.614331587527225
Load Test - Navigation:GET /meet_the_stylists,213,4705,4262,7680,529,14094,0.0,0.6628843873610044,17.907716325356418
Load Test - Purchase:POST /shopping_cart/line_items,46,20943,20359,26708,13726,30093,0.0,0.1972902611522609,9.933856161460634
Load Test - Navigation:GET /gift_cards,213,5105,4819,8703,604,14849,0.0,0.6667522279854379,20.851227558739932
Load Test - Navigation:GET /celebritydesigns,213,5018,4987,8022,757,13144,0.0,0.6694197733401218,21.229426341825224
Load Test - Navigation:GET /contest_rules,213,4115,3880,7236,410,11587,0.0,0.6761003294798789,25.314187399021403
Load Test - Navigation:GET /blogs,213,4591,4595,8120,496,11773,0.0,0.6779768914918675,24.70635672963682
Load Test - Purchase:GET /shopping_cart/orders/[id]/checkout/edit,46,16233,15438,21540,9192,25080,0.0,0.1969178082191781,9.687370404805224
Load Test - Survey:POST /users,300,6810,1702,12813,1068,94476,0.0,0.29656342305365424,18.68846347586666
Load Test - Survey:GET /showroom/welcome,300,1996,751,2328,400,75780,0.0,0.30884723797915076,18.353252143721548
Load Test - Purchase:POST /orders/[id]/completed?checkout_complete=true&order_token=3e21716977245524c003b58326df0c32,46,20542,20281,24137,14052,35994,0.0,0.19637391300635654,9.719774959764692
TOTAL,6096,4940,2656,9039,115,94476,0.0,5.908087373013919,221.86856956546336
