sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Load Test - Navigation:GET /,213,4479,4534,7050,546,11519,0.0,0.8476228754710674,26.391285713077668
Load Test - Purchase:GET /,46,4684,4523,7130,781,12440,0.0,0.2460616758939795,7.661292007676055
Load Test - Survey:GET /,200,1201,359,3937,212,10880,0.0,0.1579402069964353,4.917462175294677
Load Test - Navigation:GET /login,213,4049,3941,6652,618,12902,0.0,0.8290550718319781,19.87372859369101
Load Test - Survey:GET /stylist_surveys/registrations,200,1100,401,3634,186,12627,0.0,0.15798374821182146,4.168851697100919
Load Test - Purchase:GET /login,46,4606,4644,7967,910,13867,0.0,0.22996090664587018,5.512505256918824
Load Test - Purchase:POST /sign_in,46,3072,2891,5261,140,11048,0.0,0.221167669133167,0.2603546886343858
Load Test - Survey:POST /stylist_surveys/registrations/step02,200,1090,384,3707,178,12006,0.0,0.1580612835208467,4.166104139318771
Load Test - Navigation:POST /sign_in,213,3331,2996,6253,111,10291,0.0,0.8272615700104087,6.0328286665553295
Load Test - Survey:POST /stylist_surveys/registrations/step03,200,1215,377,4211,178,8519,0.0,0.15826152875888935,4.173865763115331
Load Test - Purchase:GET /showroom (first),46,6022,6119,7950,2908,11006,0.0,0.2162446761500926,9.622066336873948
Load Test - Navigation:GET /showroom (first),213,6876,6437,10074,1739,19182,0.0,0.8205973794819834,30.84504374111501
Load Test - Navigation:GET /features,213,24851,7127,81138,1671,89664,0.0,0.6526155175424889,68.21141805711305
Load Test - Purchase:GET /showroom/welcome,46,8836,8276,12341,3362,17873,0.0,0.21623451102796007,9.636464542240942
Load Test - Navigation:GET /boutiques,213,6428,6061,10927,802,17134,0.0,0.6610287842346186,12.973556666537357
Load Test - Survey:POST /stylist_surveys/registrations/step04,200,1119,384,3850,177,10882,0.0,0.15865586749061947,4.221444515812041
Load Test - Navigation:GET /shop_by shoes,213,6817,6317,11160,835,27670,0.0,0.6671991730489123,13.24817024346505
Load Test - Purchase:GET /products/shala-2,46,7650,7210,9864,3940,20207,0.0,0.21694429247863573,9.88555599049218
Load Test - Survey:POST /stylist_surveys/registrations/step05,200,992,249,3058,158,11791,0.0,0.16001292904466682,5.054634977006143
Load Test - Survey:POST /stylist_surveys/registrations/congrats,200,8386,702,15875,443,90422,0.0,0.16050604345380115,12.22489185779927
Load Test - Navigation:GET /whats_new,213,9714,6968,12171,769,88961,0.0,0.5437224309753308,27.50052589350443
Load Test - Navigation:GET /how_it_works,213,4946,4777,8307,470,19995,0.0,0.5527973361916156,14.851296117539507
Load Test - Purchase:POST /shopping_cart/line_items,46,17882,17418,23135,10329,25699,0.0,0.20823148097850688,9.781278610609395
Load Test - Navigation:GET /meet_the_stylists,213,4669,4576,7807,397,13850,0.0,0.5595103627623526,15.160980821830098
Load Test - Navigation:GET /gift_cards,213,4794,4605,7522,524,15170,0.0,0.5645629408163103,17.69998726917195
Load Test - Survey:POST /users,200,8510,1611,17653,1057,100658,0.0,0.16087658433271207,10.059227908527987
Load Test - Navigation:GET /celebritydesigns,213,4827,4607,7594,519,11710,0.0,0.565806180834843,17.989944903627002
Load Test - Survey:GET /showroom/welcome,200,2623,644,4643,408,75714,0.0,0.1624252031939292,9.618491400042311
Load Test - Navigation:GET /contest_rules,213,4228,4257,6822,477,11665,0.0,0.5677486765858314,21.30394445392173
Load Test - Navigation:GET /blogs,213,4104,3868,6944,389,12210,0.0,0.5741781569689862,20.97066255829391
Load Test - Purchase:GET /shopping_cart/orders/[id]/checkout/edit,46,15736,15008,19146,8102,26192,0.0,0.20814197092347161,9.540833085410606
Load Test - Purchase:POST /orders/[id]/completed?checkout_complete=true&order_token=3e21716977245524c003b58326df0c32,46,18533,17487,23579,13224,29385,0.0,0.20921168128874396,9.652065126800471
TOTAL,5196,5638,3836,9387,111,100658,0.0,4.089538541697001,151.03986171760815
